order_id,order_date,customer_name,customer_phone,product_id,product_name,quantity,total_amount,discount_amount,status,comment,delivery_date,gift_card
2029946910186,16.06.2024 21:24,СЕргеЙ сИДорОв,+7 9156 44 42,5,МОЛОко,4,9796.86,2203.14,cOMPLEted,Всё отлично!,19.06.2024,4373174286020352
2029946910186,16.06.2024 21:24,СЕргеЙ сИДорОв,+7 9156 44 42,5,моЛОко,1,2537.39,462.61,coMpleTEd,Всё отлично!,19.06.2024,4373174286020352
2029946909740,15.06.2024 04:19,олЬга КУзНЕцоВа,+7 9964 03 76,1,КОрМ ДлЯ соБаК,4,1864.77,135.23,comPLetEd,подарок вовремя,2024/06/06,0223824228871969
2029946908758,2024-06-13 14:59:20,ИВАн ИванОв,+7 9727 86 20,4,пОдПиСКа на ГАЗЕту,2,1139.28,60.72,CaNcELled,Проверить наличие,2024/06/26,7314189185871973
2029946908758,2024-06-13 14:59:20,ИВАн ИванОв,+7 9727 86 20,3,амУНиЦиЯ для сОбАК,5,4932.01,1067.99,cancELLEd,Проверить наличие,2024/06/26,7314189185871973
2029946908758,2024-06-13 14:59:20,ИВАн ИванОв,+7 9727 86 20,2,ИгруШка МЯч,2,542.53,57.47,CAncELlEd,Проверить наличие,2024/06/26,7314189185871973
2029946908758,2024-06-13 14:59:20,ИВАн ИванОв,+7 9727 86 20,3,аМуницИя дЛя СобаК,3,3184.85,415.15,caNCelled,Проверить наличие,2024/06/26,7314189185871973
2029946908758,2024-06-13 14:59:20,ИВАн ИванОв,+7 9727 86 20,5,МОлоКО,1,2838.46,161.54,caNCELled,Проверить наличие,2024/06/26,7314189185871973
2029946907318,06.06.2024 17:28,НАталЬя васИЛЬЕВа,8(9378) 39-99,2,ИГРушКа мяч,5,1455.16,44.84,COMPleTed,спасибо за заказ,07.06.2024,7949672431938247
2029946907318,06.06.2024 17:28,НАталЬя васИЛЬЕВа,8(9378) 39-99,3,амУНиЦия ДлЯ сОбАК,2,2183.67,216.33,COMplEted,спасибо за заказ,07.06.2024,7949672431938247
2029946907318,06.06.2024 17:28,НАталЬя васИЛЬЕВа,8(9378) 39-99,2,игрушкА МЯЧ,1,278.61,21.39,comPleteD,спасибо за заказ,07.06.2024,7949672431938247
2029946907318,06.06.2024 17:28,НАталЬя васИЛЬЕВа,8(9378) 39-99,1,КОрм длЯ СобАк,5,2366.41,133.59,cOMpLetED,спасибо за заказ,07.06.2024,7949672431938247
2029946906749,04.06.2024 18:42,ИваН ивАНОВ,+7 9600 01 05,3,АМуниция Для СОБАк,4,4751.32,48.68,PrOCEsSiNG,Проверить наличие,2024/06/26,6029467298466660
2029946905188,2024/06/29 11:48:32,аННА СМИрНОва,+7(9615)96-04,2,игРушКА МЯЧ,5,1373.0,127.0,cOmplETeD,"Задержка с доставкой, печалька...",08.06.2024,8903496750670038
2029946905188,2024/06/29 11:48:32,аННА СМИрНОва,+7(9615)96-04,2,игрУшкА мЯЧ,3,766.27,133.73,ComPleTEd,"Задержка с доставкой, печалька...",08.06.2024,8903496750670038
