order_id,order_date,customer_name,customer_phone,product_id,product_name,quantity,total_amount,discount_amount,status,comment,delivery_date,gift_card
2029983214280,21.09.2024 16:46,еЛеНа НОвикОвА,8(9216) 11-31,4,пОдписка на гАзЕТУ,5,2659.35,340.65,COmPlEted,"Задержка с доставкой, печалька...",26.09.2024,0055815495816302
2029983213582,2024-09-15 13:37:02,МихаИл орЛОВ,+7(9242)03-25,2,игрУШкА мЯч,1,276.1,23.9,caNCELlED,"Задержка с доставкой, печалька...",29.09.2024,7992958672998656
2029983213582,2024-09-15 13:37:02,МихаИл орЛОВ,+7(9242)03-25,1,коРМ ДЛя СоБАК,2,866.65,133.35,canCeLlEd,"Задержка с доставкой, печалька...",29.09.2024,7992958672998656
2029983213582,2024-09-15 13:37:02,МихаИл орЛОВ,+7(9242)03-25,1,КОрм ДлЯ СОБАК,2,915.92,84.08,CaNCELleD,"Задержка с доставкой, печалька...",29.09.2024,7992958672998656
2029983213582,2024-09-15 13:37:02,МихаИл орЛОВ,+7(9242)03-25,4,подпИска НА газеТУ,1,536.78,63.22,cANCellEd,"Задержка с доставкой, печалька...",29.09.2024,7992958672998656
2029983212167,12.09.2024 00:13,СЕРГЕЙ сИДорОВ,+7 9484 48 73,2,ИгруШка Мяч,5,1337.45,162.55,cOmpLeted,Всё отлично!,2024/09/04,8292929052665991
2029983211603,11.09.2024 12:06,СЕРгей СИДОРОв,+7 9624 05 84,3,аМунИцИЯ дЛя СоБаК,3,3396.54,203.46,cAnCEllEd,Всё отлично!,2024-09-12,3292639451175327
2029983211603,11.09.2024 12:06,СЕРгей СИДОРОв,+7 9624 05 84,2,игрУшКА мЯЧ,1,282.98,17.02,CaNCELLed,Всё отлично!,2024-09-12,3292639451175327
2029983211603,11.09.2024 12:06,СЕРгей СИДОРОв,+7 9624 05 84,3,амуНициЯ дЛя СОБак,1,1185.07,14.93,cancEllED,Всё отлично!,2024-09-12,3292639451175327
2029983210794,2024/09/17 18:22:02,елЕНА НовикоВА,8(9946) 29-94,3,АМуниция ДлЯ СобАк,4,4776.62,23.38,CANcELLED,подарок вовремя,2024/09/20,4802443220831209
2029983210794,2024/09/17 18:22:02,елЕНА НовикоВА,8(9946) 29-94,1,КОРМ Для СоБак,2,942.89,57.11,CANCelLeD,подарок вовремя,2024/09/20,4802443220831209
2029983210794,2024/09/17 18:22:02,елЕНА НовикоВА,8(9946) 29-94,2,ИгРуШКа мЯЧ,5,1461.34,38.66,canCELleD,подарок вовремя,2024/09/20,4802443220831209
2029983210794,2024/09/17 18:22:02,елЕНА НовикоВА,8(9946) 29-94,5,МолоКО,3,8284.38,715.62,caNCellED,подарок вовремя,2024/09/20,4802443220831209
2029983209479,2024/09/05 01:55:25,елеНа нОВикОВа,+7 9210 43 16,2,ИГрушка Мяч,2,589.12,10.88,cANcElLeD,Ждём с нетерпением!,21.09.2024,6934299320982694
2029983209479,2024/09/05 01:55:25,елеНа нОВикОВа,+7 9210 43 16,2,ИгРУшКА мяч,5,1303.04,196.96,cANCELlEd,Ждём с нетерпением!,21.09.2024,6934299320982694
2029983209479,2024/09/05 01:55:25,елеНа нОВикОВа,+7 9210 43 16,3,амуНИЦиЯ ДЛЯ соБАК,5,5886.92,113.08,cANCELlED,Ждём с нетерпением!,21.09.2024,6934299320982694
2029983209479,2024/09/05 01:55:25,елеНа нОВикОВа,+7 9210 43 16,5,мОЛОКО,2,5573.93,426.07,CAncELLed,Ждём с нетерпением!,21.09.2024,6934299320982694
2029983209479,2024/09/05 01:55:25,елеНа нОВикОВа,+7 9210 43 16,5,мОЛОКо,4,10057.93,1942.07,CaNCelLeD,Ждём с нетерпением!,21.09.2024,6934299320982694
2029983208856,2024/09/27 02:26:05,еленА НовИКОва,8(9896) 81-10,4,пОдпИскА нА гАзетУ,1,549.84,50.16,ProCESSInG,"Задержка с доставкой, печалька...",20.09.2024,3086979815012609
2029983208856,2024/09/27 02:26:05,еленА НовИКОва,8(9896) 81-10,5,МолОКо,1,2865.75,134.25,PROCEsSing,"Задержка с доставкой, печалька...",20.09.2024,3086979815012609
2029983208856,2024/09/27 02:26:05,еленА НовИКОва,8(9896) 81-10,2,Игрушка Мяч,1,276.29,23.71,pROCeSSiNg,"Задержка с доставкой, печалька...",20.09.2024,3086979815012609
2029983208856,2024/09/27 02:26:05,еленА НовИКОва,8(9896) 81-10,1,корм Для сОбАк,3,1311.01,188.99,pROCessING,"Задержка с доставкой, печалька...",20.09.2024,3086979815012609
2029983207943,2024/09/18 08:57:15,МИхАИл ОрЛов,+7 9008 33 03,4,подпИскА НА гаЗЕТу,3,1661.99,138.01,prOceSSINg,спасибо за заказ,2024/09/21,0017596125172135
2029983207943,2024/09/18 08:57:15,МИхАИл ОрЛов,+7 9008 33 03,3,АмуНИЦиЯ дЛя сОБаК,2,2243.83,156.17,PrOceSsINg,спасибо за заказ,2024/09/21,0017596125172135
