card_number,balance,is_activated,activation_date,expiration_date
0829129477023777,22546,True,2023-12-26,2025-06-25
0768124501445669,27343,True,2023-12-24,2025-06-23
9515225760821750,25705,True,2023-12-28,2025-06-27
9027112006447338,27840,True,2023-12-24,2025-06-23
5389096356870688,25037,True,2023-12-25,2025-06-24
5465186240858011,26937,True,2023-12-27,2025-06-26
1147744300886234,21754,True,2023-12-21,2025-06-20
9645911883194436,20737,True,2023-12-24,2025-06-23
5008300071867573,23725,True,2023-12-27,2025-06-26
8813984916515647,23798,True,2023-12-26,2025-06-25
6099397430788484,23503,True,2023-12-23,2025-06-22
3155239520110771,22130,True,2023-12-23,2025-06-22
2322327791927395,29860,True,2023-12-25,2025-06-24
9590692449731792,28482,True,2023-12-25,2025-06-24
4847808390878842,22580,True,2023-12-22,2025-06-21
0885522781699105,21668,True,2023-12-29,2025-06-28
1815900836394171,29641,True,2023-12-23,2025-06-22
7329380320589945,20585,True,2023-12-29,2025-06-28
4424037129108212,21089,True,2023-12-21,2025-06-20
